"Index","sma","pos","pos.num","pos.bars","pos.add","pos.drop","pos.add.num","pos.drop.num","action","state","SPFB.SI.Open","SPFB.SI.pos","SPFB.SI.ret","SPFB.SI.cret","cret","balance","im.balance","n","diff.n","margin","commiss","equity","perfReturn","SPFB.SI.n","SPFB.SI.diff.n","SPFB.SI.commiss","SPFB.SI.margin","SPFB.SI.perfReturn","SPFB.SI.equity","SPFB.SI.balance"
2016-02-05 15:00:00,77767,-1,10,11,1,0,1,2,0,-1,77605,-1,-11,-11,-11,650971,10532,2,1,-11,10,-338497,-21,2,1,10,-11,-21,-338497,661503
2016-02-05 15:45:00,77706,-1,10,14,0,1,1,3,0,-1,77613,-1,-8,-8,-8,656211,5266,1,-1,-16,10,-338523,-26,1,-1,10,-16,-26,-338523,661477
2016-02-05 16:00:00,77683,-1,10,15,0,1,1,4,0,-1,77566,-1,47,47,47,661514,0,0,-1,47,10,-338486,37,0,-1,10,47,37,-338486,661514
2016-02-05 16:45:00,77645,1,11,0,0,0,0,0,1,1,78018,1,0,0,0,640410,21064,4,4,0,40,-338526,-40,4,4,40,0,-40,-338526,661474
2016-02-05 19:45:00,77571,1,11,11,1,0,1,0,0,1,78133,1,115,115,115,619766,42128,8,4,460,40,-338106,420,8,4,40,460,420,-338106,661894
2016-02-05 22:15:00,77627,1,11,21,1,0,2,0,0,1,78079,1,-54,-54,-54,577126,84256,16,8,-432,80,-338618,-512,16,8,80,-432,-512,-338618,661382
2016-02-08 10:15:00,77678,0,11,28,0,0,0,0,1,-1,77597,0,-482,-482,-482,653510,0,0,-16,-7712,160,-346490,-7872,0,-16,160,-7712,-7872,-346490,653510
2016-02-08 10:15:00,77678,-1,12,0,0,0,0,0,1,-1,77597,-1,0,0,0,632406,21064,4,4,0,40,-346530,-40,4,4,40,0,-40,-346530,653470
2016-02-08 10:30:00,77680,-1,12,1,0,1,0,1,0,-1,77597,-1,0,0,0,642918,10532,2,-2,0,20,-346550,-20,2,-2,20,0,-20,-346550,653450
2016-02-08 10:45:00,77685,-1,12,2,0,1,0,2,0,-1,77663,-1,-66,-66,-66,648042,5266,1,-1,-132,10,-346692,-142,1,-1,10,-132,-142,-346692,653308
2016-02-08 11:00:00,77688,0,12,2,0,0,0,0,1,1,77817,0,-154,-154,-154,653144,0,0,-1,-154,10,-346856,-164,0,-1,10,-154,-164,-346856,653144
2016-02-08 11:00:00,77688,1,13,0,0,0,0,0,1,1,77817,1,0,0,0,632040,21064,4,4,0,40,-346896,-40,4,4,40,0,-40,-346896,653104
2016-02-08 11:15:00,77690,0,13,0,0,0,0,0,1,-1,77612,0,-205,-205,-205,652244,0,0,-4,-820,40,-347756,-860,0,-4,40,-820,-860,-347756,652244
2016-02-08 11:15:00,77690,-1,14,0,0,0,0,0,1,-1,77612,-1,0,0,0,631140,21064,4,4,0,40,-347796,-40,4,4,40,0,-40,-347796,652204
2016-02-08 12:45:00,77693,0,14,5,0,0,0,0,1,1,77753,0,-141,-141,-141,651600,0,0,-4,-564,40,-348400,-604,0,-4,40,-564,-604,-348400,651600
2016-02-08 12:45:00,77693,1,15,0,0,0,0,0,1,1,77753,1,0,0,0,630496,21064,4,4,0,40,-348440,-40,4,4,40,0,-40,-348440,651560
2016-02-08 13:00:00,77694,1,15,1,0,1,0,1,0,1,77752,1,-1,-1,-1,641004,10532,2,-2,-4,20,-348464,-24,2,-2,20,-4,-24,-348464,651536
2016-02-08 13:15:00,77696,1,15,2,0,1,0,2,0,1,77729,1,-23,-23,-23,646214,5266,1,-1,-46,10,-348520,-56,1,-1,10,-46,-56,-348520,651480
