"Index","SPFB.SI.Open","SPFB.SI.High","SPFB.SI.Low","SPFB.SI.Close","SPFB.SI.Volume"
2016-03-30 16:30:00,68916,68979,68823,68937,135164
2016-03-30 16:45:00,68936,68938,68760,68903,102250
2016-03-30 17:00:00,68902,69043,68863,68919,70100
2016-03-30 17:15:00,68918,68966,68865,68966,62582
2016-03-30 17:30:00,68966,68978,68604,68675,248255
2016-03-30 17:45:00,68675,68843,68615,68699,140180
2016-03-30 18:00:00,68699,68816,68665,68745,99519
2016-03-30 18:15:00,68745,68971,68500,68967,195814
2016-03-30 18:30:00,68968,69150,68959,69116,141784
2016-03-30 19:00:00,69082,69379,68981,69310,131737
2016-03-30 19:15:00,69304,69338,69150,69312,60657
2016-03-30 19:30:00,69312,69438,69281,69387,61640
2016-03-30 19:45:00,69382,69438,69324,69386,41429
2016-03-30 20:00:00,69389,69580,69350,69544,76431
2016-03-30 20:15:00,69543,69650,69532,69546,51116
2016-03-30 20:30:00,69539,69632,69500,69520,29514
2016-03-30 20:45:00,69520,69531,69364,69466,38390
2016-03-30 21:00:00,69466,69485,69351,69451,29428
2016-03-30 21:15:00,69445,69497,69382,69405,29327
2016-03-30 21:30:00,69405,69456,69399,69425,11113
2016-03-30 21:45:00,69425,69456,69378,69440,10238
2016-03-30 22:00:00,69444,69460,69407,69444,9277
2016-03-30 22:15:00,69445,69491,69430,69485,8746
2016-03-30 22:30:00,69486,69620,69484,69579,23335
2016-03-30 22:45:00,69582,69633,69562,69619,14319
2016-03-30 23:00:00,69619,69729,69619,69720,43661
2016-03-30 23:15:00,69720,69800,69703,69767,26652
2016-03-30 23:30:00,69763,69770,69590,69664,23798
2016-03-30 23:45:00,69660,69701,69650,69657,5870
2016-03-31 10:00:00,69655,69655,69261,69280,204550
2016-03-31 10:15:00,69282,69309,69105,69163,140031
2016-03-31 10:30:00,69165,69234,69058,69107,117824
2016-03-31 10:45:00,69105,69298,69098,69257,137828
2016-03-31 11:00:00,69261,69393,69260,69337,108430
2016-03-31 11:15:00,69337,69416,69230,69364,85266
2016-03-31 11:30:00,69364,69384,69180,69242,77158
2016-03-31 11:45:00,69244,69281,69071,69075,86944
2016-03-31 12:00:00,69076,69183,69032,69123,91587
2016-03-31 12:15:00,69122,69127,68968,69002,98731
2016-03-31 12:30:00,69001,69008,68753,68787,138284
2016-03-31 12:45:00,68788,68877,68709,68831,115301
2016-03-31 13:00:00,68831,68890,68750,68837,66301
2016-03-31 13:15:00,68838,68914,68808,68865,40849
2016-03-31 13:30:00,68864,68877,68580,68594,120536
2016-03-31 13:45:00,68596,68695,68535,68607,147359
2016-03-31 14:00:00,68603,68603,68379,68417,136576
2016-03-31 14:15:00,68415,68417,68205,68341,155750
2016-03-31 14:30:00,68342,68474,68334,68409,82152
2016-03-31 14:45:00,68409,68410,68280,68372,82732
2016-03-31 15:00:00,68373,68414,68292,68401,70056
2016-03-31 15:15:00,68400,68512,68377,68399,75435
2016-03-31 15:30:00,68401,68484,68290,68306,69473
2016-03-31 15:45:00,68310,68580,68296,68550,65548
2016-03-31 16:00:00,68550,68800,68526,68547,160260
