"Index","SPFB.RTS.Open","SPFB.RTS.High","SPFB.RTS.Low","SPFB.RTS.Close","SPFB.RTS.Volume"
2015-12-25 10:45:00,77910,78060,77900,77920,3979
2015-12-25 11:00:00,77920,78030,77900,78000,5030
2015-12-25 11:15:00,78000,78180,77960,78080,5420
2015-12-25 11:30:00,78080,78110,78010,78060,2741
2015-12-25 11:45:00,78070,78170,78030,78110,2529
2015-12-25 12:00:00,78110,78220,78060,78180,3839
2015-12-25 12:15:00,78180,78210,78000,78040,4383
2015-12-25 12:30:00,78020,78110,78010,78050,2826
2015-12-25 12:45:00,78050,78110,78040,78090,2313
2015-12-25 13:00:00,78080,78100,78010,78030,2181
2015-12-25 13:15:00,78020,78050,77950,77970,2627
2015-12-25 13:30:00,77970,77970,77790,77830,7383
2015-12-25 13:45:00,77820,77880,77790,77830,1848
2015-12-25 14:00:00,77830,77880,77770,77840,3171
2015-12-25 14:15:00,77830,77850,77690,77820,5760
2015-12-25 14:30:00,77830,77840,77750,77830,2633
2015-12-25 14:45:00,77830,77840,77730,77740,2086
2015-12-25 15:00:00,77740,77780,77600,77610,6140
2015-12-25 15:15:00,77610,77640,77240,77260,15849
2015-12-25 15:30:00,77260,77300,77160,77260,7769
2015-12-25 15:45:00,77260,77400,77250,77320,5099
2015-12-25 16:00:00,77330,77420,77190,77320,6960
2015-12-25 16:15:00,77320,77360,77150,77170,3048
2015-12-25 16:30:00,77180,77180,76930,77050,12066
2015-12-25 16:45:00,77040,77330,77030,77160,7737
2015-12-25 17:00:00,77160,77170,76840,76880,10145
2015-12-25 17:15:00,76880,76970,76860,76930,5030
2015-12-25 17:30:00,76920,76970,76800,76960,5042
2015-12-25 17:45:00,76970,77320,76930,77220,8241
2015-12-25 18:00:00,77220,77310,77130,77280,4415
2015-12-25 18:15:00,77270,77280,77090,77160,3788
2015-12-25 18:30:00,77170,77300,77150,77250,4551
2015-12-25 19:00:00,77260,77390,77120,77310,4172
2015-12-25 19:15:00,77310,77320,76930,76980,3892
2015-12-25 19:30:00,76970,77090,76950,76990,1958
2015-12-25 19:45:00,76990,77090,76950,76990,1127
2015-12-25 20:00:00,76990,77160,76970,77080,1885
2015-12-25 20:15:00,77090,77210,77060,77210,1063
2015-12-25 20:30:00,77210,77210,77100,77120,777
2015-12-25 20:45:00,77110,77140,77060,77140,584
2015-12-25 21:00:00,77130,77180,77100,77150,990
2015-12-25 21:15:00,77140,77180,77130,77170,379
2015-12-25 21:30:00,77170,77180,77120,77120,412
2015-12-25 21:45:00,77130,77280,77120,77230,1047
2015-12-25 22:00:00,77230,77270,77200,77210,672
2015-12-25 22:15:00,77230,77230,77160,77180,378
2015-12-25 22:30:00,77180,77180,77090,77140,1211
2015-12-25 22:45:00,77130,77270,77130,77260,913
2015-12-25 23:00:00,77260,77290,77210,77220,1093
2015-12-25 23:15:00,77220,77310,77220,77300,938
2015-12-25 23:30:00,77300,77350,77270,77310,1642
2015-12-25 23:45:00,77300,77520,77290,77510,3609
2015-12-28 10:00:00,77520,77590,76940,77090,20706
2015-12-28 10:15:00,77080,77290,77060,77170,7953
2015-12-28 10:30:00,77170,77220,76850,76870,10674
2015-12-28 10:45:00,76860,76900,76690,76810,13330
2015-12-28 11:00:00,76810,76920,76690,76750,10448
2015-12-28 11:15:00,76740,76890,76520,76570,12504
2015-12-28 11:30:00,76580,76660,76380,76480,10232
2015-12-28 11:45:00,76470,76560,76180,76230,10960
2015-12-28 12:00:00,76230,76430,76110,76380,10400
2015-12-28 12:15:00,76380,76430,76170,76200,7155
2015-12-28 12:30:00,76190,76250,75690,75780,20002
2015-12-28 12:45:00,75770,75860,75230,75490,22458
2015-12-28 13:00:00,75470,75490,75100,75180,18194
2015-12-28 13:15:00,75170,75340,75050,75340,13849
2015-12-28 13:30:00,75330,75440,75230,75290,9368
2015-12-28 13:45:00,75270,75550,75260,75510,9823
2015-12-28 14:00:00,75490,75500,75210,75420,7948
2015-12-28 14:15:00,75410,75440,75280,75410,6400
2015-12-28 14:30:00,75400,75600,75280,75440,11821
2015-12-28 14:45:00,75440,75540,75370,75510,5121
2015-12-28 15:00:00,75510,75560,75240,75310,9386
2015-12-28 15:15:00,75330,75450,75150,75190,7601
2015-12-28 15:30:00,75200,75330,75100,75290,11085
2015-12-28 15:45:00,75300,75460,75240,75340,6875
2015-12-28 16:00:00,75340,75460,75170,75460,11071
2015-12-28 16:15:00,75460,75660,75420,75470,10063
2015-12-28 16:30:00,75470,75600,75400,75440,5542
2015-12-28 16:45:00,75440,75540,75400,75470,2898
2015-12-28 17:00:00,75460,75650,75410,75610,7275
2015-12-28 17:15:00,75610,75750,75570,75640,7833
2015-12-28 17:30:00,75640,75660,75390,75500,9232
2015-12-28 17:45:00,75510,75550,75210,75220,10307
2015-12-28 18:00:00,75210,75310,75080,75260,13298
2015-12-28 18:15:00,75260,75410,75170,75350,7778
2015-12-28 18:30:00,75370,75510,75350,75450,7756
2015-12-28 19:00:00,75430,75640,75430,75600,4682
2015-12-28 19:15:00,75610,75730,75570,75710,4318
2015-12-28 19:30:00,75730,75750,75640,75680,3829
2015-12-28 19:45:00,75690,75700,75570,75570,3247
2015-12-28 20:00:00,75590,75650,75550,75570,2956
2015-12-28 20:15:00,75570,75650,75560,75620,1755
2015-12-28 20:30:00,75620,75690,75600,75620,2024
2015-12-28 20:45:00,75620,75620,75480,75490,1917
2015-12-28 21:00:00,75490,75570,75480,75570,1908
2015-12-28 21:15:00,75570,75650,75560,75630,2104
2015-12-28 21:30:00,75630,75650,75570,75590,2044
2015-12-28 21:45:00,75590,75590,75510,75530,1957
2015-12-28 22:00:00,75540,75610,75420,75450,3080
2015-12-28 22:15:00,75450,75500,75410,75470,2818
2015-12-28 22:30:00,75470,75490,75330,75390,2145
2015-12-28 22:45:00,75400,75470,75350,75440,1530
2015-12-28 23:00:00,75440,75460,75400,75410,959
2015-12-28 23:15:00,75410,75430,75360,75400,903
2015-12-28 23:30:00,75410,75490,75410,75450,1999
2015-12-28 23:45:00,75450,75560,75440,75560,1154
2015-12-29 10:00:00,75560,75730,75310,75470,14462
2015-12-29 10:15:00,75470,75490,75160,75220,11054
2015-12-29 10:30:00,75220,75240,75020,75110,12139
2015-12-29 10:45:00,75120,75120,74820,75060,17207
