<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20160309,123100,72348.0000000,72368.0000000,72333.0000000,72351.0000000,6687
SPFB.Si,1,20160309,123200,72351.0000000,72380.0000000,72349.0000000,72371.0000000,3451
SPFB.Si,1,20160309,123300,72369.0000000,72390.0000000,72338.0000000,72353.0000000,4790
SPFB.Si,1,20160309,123400,72353.0000000,72386.0000000,72349.0000000,72381.0000000,3810
SPFB.Si,1,20160309,123500,72377.0000000,72380.0000000,72328.0000000,72338.0000000,4768
SPFB.Si,1,20160309,123600,72339.0000000,72358.0000000,72329.0000000,72351.0000000,2233
SPFB.Si,1,20160309,123700,72351.0000000,72356.0000000,72330.0000000,72354.0000000,4026
SPFB.Si,1,20160309,123800,72352.0000000,72380.0000000,72352.0000000,72374.0000000,2534
SPFB.Si,1,20160309,123900,72372.0000000,72382.0000000,72363.0000000,72379.0000000,1520
SPFB.Si,1,20160309,124000,72375.0000000,72400.0000000,72366.0000000,72373.0000000,2825
SPFB.Si,1,20160309,124100,72373.0000000,72377.0000000,72271.0000000,72296.0000000,12722
SPFB.Si,1,20160309,124200,72297.0000000,72340.0000000,72274.0000000,72340.0000000,7492
SPFB.Si,1,20160309,124300,72339.0000000,72379.0000000,72331.0000000,72347.0000000,11231
SPFB.Si,1,20160309,124400,72347.0000000,72380.0000000,72336.0000000,72354.0000000,7166
SPFB.Si,1,20160309,124500,72352.0000000,72387.0000000,72350.0000000,72377.0000000,3789
SPFB.Si,1,20160309,124600,72376.0000000,72448.0000000,72364.0000000,72433.0000000,9715
SPFB.Si,1,20160309,124700,72433.0000000,72479.0000000,72428.0000000,72441.0000000,6227
SPFB.Si,1,20160309,124800,72442.0000000,72485.0000000,72442.0000000,72456.0000000,4677
SPFB.Si,1,20160309,124900,72451.0000000,72484.0000000,72446.0000000,72460.0000000,3707
SPFB.Si,1,20160309,125000,72460.0000000,72510.0000000,72460.0000000,72483.0000000,6190
SPFB.Si,1,20160309,125100,72485.0000000,72502.0000000,72457.0000000,72469.0000000,2479
SPFB.Si,1,20160309,125200,72469.0000000,72492.0000000,72456.0000000,72480.0000000,1836
SPFB.Si,1,20160309,125300,72480.0000000,72488.0000000,72465.0000000,72475.0000000,874
SPFB.Si,1,20160309,125400,72475.0000000,72485.0000000,72438.0000000,72455.0000000,2878
SPFB.Si,1,20160309,125500,72451.0000000,72463.0000000,72405.0000000,72426.0000000,3986
SPFB.Si,1,20160309,125600,72423.0000000,72443.0000000,72413.0000000,72435.0000000,1518
SPFB.Si,1,20160309,125700,72435.0000000,72453.0000000,72424.0000000,72432.0000000,3750
SPFB.Si,1,20160309,125800,72430.0000000,72441.0000000,72419.0000000,72425.0000000,3873
SPFB.Si,1,20160309,125900,72425.0000000,72439.0000000,72351.0000000,72388.0000000,17668
SPFB.Si,1,20160309,130000,72386.0000000,72411.0000000,72372.0000000,72398.0000000,4319
SPFB.Si,1,20160309,130100,72398.0000000,72421.0000000,72378.0000000,72416.0000000,5963
SPFB.Si,1,20160309,130200,72420.0000000,72440.0000000,72396.0000000,72429.0000000,4396
SPFB.Si,1,20160309,130300,72428.0000000,72459.0000000,72413.0000000,72445.0000000,2610
SPFB.Si,1,20160309,130400,72441.0000000,72449.0000000,72417.0000000,72425.0000000,1542
SPFB.Si,1,20160309,130500,72425.0000000,72442.0000000,72412.0000000,72423.0000000,2149
SPFB.Si,1,20160309,130600,72426.0000000,72431.0000000,72390.0000000,72410.0000000,4085
SPFB.Si,1,20160309,130700,72410.0000000,72420.0000000,72383.0000000,72391.0000000,3379
SPFB.Si,1,20160309,130800,72391.0000000,72411.0000000,72384.0000000,72391.0000000,1749
SPFB.Si,1,20160309,130900,72395.0000000,72409.0000000,72369.0000000,72385.0000000,1734
SPFB.Si,1,20160309,131000,72384.0000000,72394.0000000,72370.0000000,72373.0000000,1712
SPFB.Si,1,20160309,131100,72375.0000000,72388.0000000,72368.0000000,72375.0000000,2106
SPFB.Si,1,20160309,131200,72374.0000000,72378.0000000,72314.0000000,72338.0000000,4877
SPFB.Si,1,20160309,131300,72335.0000000,72345.0000000,72307.0000000,72336.0000000,2764
SPFB.Si,1,20160309,131400,72339.0000000,72366.0000000,72336.0000000,72347.0000000,2729
SPFB.Si,1,20160309,131500,72348.0000000,72349.0000000,72332.0000000,72347.0000000,1455
SPFB.Si,1,20160309,131600,72347.0000000,72353.0000000,72337.0000000,72343.0000000,1486
SPFB.Si,1,20160309,131700,72342.0000000,72353.0000000,72273.0000000,72274.0000000,3661
SPFB.Si,1,20160309,131800,72275.0000000,72297.0000000,72266.0000000,72283.0000000,5627
SPFB.Si,1,20160309,131900,72286.0000000,72313.0000000,72282.0000000,72298.0000000,2289
SPFB.Si,1,20160309,132000,72298.0000000,72328.0000000,72287.0000000,72313.0000000,5561
SPFB.Si,1,20160309,132100,72313.0000000,72339.0000000,72312.0000000,72325.0000000,3029
SPFB.Si,1,20160309,132200,72329.0000000,72365.0000000,72323.0000000,72359.0000000,3301
SPFB.Si,1,20160309,132300,72355.0000000,72362.0000000,72339.0000000,72341.0000000,4174
SPFB.Si,1,20160309,132400,72340.0000000,72349.0000000,72312.0000000,72319.0000000,2072
SPFB.Si,1,20160309,132500,72322.0000000,72328.0000000,72250.0000000,72265.0000000,11056
SPFB.Si,1,20160309,132600,72264.0000000,72269.0000000,72219.0000000,72228.0000000,6589
SPFB.Si,1,20160309,132700,72226.0000000,72235.0000000,72198.0000000,72207.0000000,9781
SPFB.Si,1,20160309,132800,72212.0000000,72281.0000000,72188.0000000,72248.0000000,9146
SPFB.Si,1,20160309,132900,72245.0000000,72285.0000000,72218.0000000,72277.0000000,3319
SPFB.Si,1,20160309,133000,72280.0000000,72284.0000000,72257.0000000,72270.0000000,2439
SPFB.Si,1,20160309,133100,72274.0000000,72304.0000000,72265.0000000,72301.0000000,5526
SPFB.Si,1,20160309,133200,72304.0000000,72309.0000000,72290.0000000,72297.0000000,1684
SPFB.Si,1,20160309,133300,72297.0000000,72300.0000000,72280.0000000,72297.0000000,2489
SPFB.Si,1,20160309,133400,72297.0000000,72333.0000000,72288.0000000,72307.0000000,3151
SPFB.Si,1,20160309,133500,72307.0000000,72345.0000000,72307.0000000,72330.0000000,4048
SPFB.Si,1,20160309,133600,72330.0000000,72353.0000000,72327.0000000,72348.0000000,1201
SPFB.Si,1,20160309,133700,72350.0000000,72365.0000000,72311.0000000,72313.0000000,2722
SPFB.Si,1,20160309,133800,72312.0000000,72315.0000000,72290.0000000,72300.0000000,1858
SPFB.Si,1,20160309,133900,72300.0000000,72337.0000000,72296.0000000,72322.0000000,3830
SPFB.Si,1,20160309,134000,72321.0000000,72348.0000000,72313.0000000,72320.0000000,2481
SPFB.Si,1,20160309,134100,72322.0000000,72325.0000000,72281.0000000,72301.0000000,4063
SPFB.Si,1,20160309,134200,72305.0000000,72330.0000000,72300.0000000,72312.0000000,1742
SPFB.Si,1,20160309,134300,72310.0000000,72315.0000000,72281.0000000,72281.0000000,1701
SPFB.Si,1,20160309,134400,72283.0000000,72286.0000000,72222.0000000,72223.0000000,4462
SPFB.Si,1,20160309,134500,72223.0000000,72257.0000000,72205.0000000,72254.0000000,4872
SPFB.Si,1,20160309,134600,72252.0000000,72268.0000000,72226.0000000,72231.0000000,4607
SPFB.Si,1,20160309,134700,72231.0000000,72233.0000000,72209.0000000,72221.0000000,3571
SPFB.Si,1,20160309,134800,72219.0000000,72258.0000000,72213.0000000,72248.0000000,3640
SPFB.Si,1,20160309,134900,72248.0000000,72254.0000000,72233.0000000,72246.0000000,2311
SPFB.Si,1,20160309,135000,72245.0000000,72260.0000000,72241.0000000,72258.0000000,1306
SPFB.Si,1,20160309,135100,72257.0000000,72285.0000000,72252.0000000,72261.0000000,2795
SPFB.Si,1,20160309,135200,72257.0000000,72259.0000000,72235.0000000,72240.0000000,1527
SPFB.Si,1,20160309,135300,72241.0000000,72276.0000000,72234.0000000,72271.0000000,2149
SPFB.Si,1,20160309,135400,72271.0000000,72310.0000000,72255.0000000,72305.0000000,3318
SPFB.Si,1,20160309,135500,72301.0000000,72304.0000000,72274.0000000,72288.0000000,1948
SPFB.Si,1,20160309,135600,72282.0000000,72286.0000000,72257.0000000,72270.0000000,1262
SPFB.Si,1,20160309,135700,72268.0000000,72289.0000000,72252.0000000,72280.0000000,1502
SPFB.Si,1,20160309,135800,72276.0000000,72308.0000000,72275.0000000,72299.0000000,1429
SPFB.Si,1,20160309,135900,72298.0000000,72329.0000000,72297.0000000,72326.0000000,1634
SPFB.Si,1,20160309,140000,72321.0000000,72334.0000000,72319.0000000,72325.0000000,2908
SPFB.Si,1,20160309,140600,72325.0000000,72360.0000000,72324.0000000,72354.0000000,3713
SPFB.Si,1,20160309,140700,72352.0000000,72363.0000000,72335.0000000,72350.0000000,2357
SPFB.Si,1,20160309,140800,72350.0000000,72355.0000000,72327.0000000,72329.0000000,2724
SPFB.Si,1,20160309,140900,72331.0000000,72331.0000000,72301.0000000,72301.0000000,2425
SPFB.Si,1,20160309,141000,72304.0000000,72310.0000000,72283.0000000,72307.0000000,4530
SPFB.Si,1,20160309,141100,72302.0000000,72310.0000000,72257.0000000,72281.0000000,5175
SPFB.Si,1,20160309,141200,72282.0000000,72282.0000000,72249.0000000,72262.0000000,3545
